sample_id,batch,idx_in_batch,data_label,label,vdt_label,vdt_score,split,domain,current_caption,true_image_context,current_caption_zh,true_image_context_zh,gold_mismatch_type,gold_mismatch_type_zh,gold_conflict_fields,annotation_status,annotation_status_zh,annotator,rationale,rationale_zh,rationale_warning,image_id,text_id,image_path,image_topic,negative_source,image_source,model_reference_mismatch_type_zh,model_reference_conflict_fields_zh,newsclippings_file,source_xlsx,source_sheet_batch,notes
1561273,batch1,1,真实OOC,1,OOC,0.9,train,usa_today,Zhuang Zedong was reunited with Glenn Cowan on a visit to the US in 1972,Ali is escorted from the Armed Forces Examining and Entrance Station in Houston in 1967,庄则栋在1972年访问美国期间与格伦·考恩重聚。,1967年，阿里在休斯敦被护送离开武装部队体检与入伍站。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time"", ""event_type"", ""relation""]",done,已完成,朱俊好,,,missing_rationale,404272,1561273,./usa_today/images/0706/565.jpg,law_crime,train,usa_today,时间错配,主体/人物，时间,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_image\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
248644,batch1,2,真实OOC,1,OOC,0.9,train,washington_post,Czech policemen uses a dog to check waste bins at Vaclav Havel Airport in Prague Czech Republic on March 22 2016,A Washington Animal Rescue League worker stops to pet a dog that was rescued from the streets of Sochi Russia,2016年3月22日，捷克共和国布拉格瓦茨拉夫·哈维尔机场，捷克警察用警犬检查垃圾桶。,华盛顿动物救援联盟的一名工作人员停下来抚摸一只从俄罗斯索契街头救出的狗。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""event_type"", ""relation""]",done,已完成,朱俊好,,,missing_rationale,44896,248644,./washington_post/images/0498/217.jpg,science_technology,train,washington_post,完全不同事件,主体/人物，地点，事件类型,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_text\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
1575034,batch1,3,真实OOC,1,OOC,0.9,train,guardian,Musudan missiles were displayed during a military parade in Pyongyang last year,North Korean leader Kim Jongun at a sports day in the Songdowon international children s camp in early May,去年，舞水端导弹在平壤的一场阅兵式上展出。,5月初，朝鲜领导人金正恩在松涛园国际少年儿童营参加体育日活动。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time"", ""event_type"", ""relation""]",done,已完成,朱俊好,,,missing_rationale,807345,1575034,./guardian/images/0410/571.jpg,world,train,guardian,完全不同事件,时间，事件类型,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_text\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
515760,batch1,4,真实OOC,1,OOC,0.9,train,usa_today,Donald Trump speaks during a campaign rally in Tucson Arizona,Ted Cruz speaks during the CNN Republican presidential debate on Dec 15 2015 in Las Vegas,唐纳德·特朗普在亚利桑那州图森的一场竞选集会上讲话。,2015年12月15日，泰德·克鲁兹在拉斯维加斯参加CNN共和党总统候选人辩论。,different-event mismatch,完全不同事件,"[""entity"", ""location""]",done,已完成,朱俊好,,,missing_rationale,399769,515760,./usa_today/images/0590/326.jpg,international_relations,train,usa_today,地点错配,主体/人物，地点,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_text\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
206297,batch1,5,真实OOC,1,OOC,0.9,train,washington_post,Bryce Harper waves to the crowd as he leaves the field with his father Ron after finishing second in the Home Run Derby,Former Washington National Adam LoRoche hugs his son Drake after throwing out the ceremonial first pitch before Game 2 of the NLDS at Nationals Park,布莱斯·哈珀在全垒打大赛获得第二名后，和父亲罗恩一起离场时向观众挥手。,前华盛顿国民队球员亚当·拉罗什在国民公园NLDS第二场比赛前，与完成开球仪式的儿子德雷克拥抱。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time""]",done,已完成,朱俊好,,,missing_rationale,124481,206297,./washington_post/images/0520/213.jpg,arts_culture,train,washington_post,主体/人物错配,主体/人物,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_text\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
312729,batch1,6,真实OOC,1,OOC,0.9,train,usa_today,Voters wait in line at Pilgrim Evangelical Lutheran Church in Mesa on Tuesday,Donald Trump supporters wait in a long line outside the Phoenix Convention Center on Aug 31 2016,星期二，选民在梅萨的朝圣者福音路德教堂排队等候。,2016年8月31日，唐纳德·特朗普的支持者在凤凰城会议中心外排成长队。,location mismatch,地点错配,"[""location"", ""time""]",done,已完成,朱俊好,,,missing_rationale,399348,312729,./usa_today/images/0639/183.jpg,international_relations,train,usa_today,时间错配,主体/人物，时间,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_image\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
710304,batch1,7,真实OOC,1,OOC,0.9,train,bbc,Pope Francis leads a mass for the canonisation of Antonio Primaldo and companions and two Latin American nuns in St Peter s Square,Cardinal Keith OBrien was President of the Conference of Scottish Bishops,教皇方济各在圣彼得广场主持安东尼奥·普里马尔多及其同伴和两位拉丁美洲修女的封圣弥撒。,基思·奥布莱恩枢机曾任苏格兰主教会议主席。,different-event mismatch,完全不同事件,"[""entity"", ""event_type""]",done,已完成,朱俊好,,,missing_rationale,1533233,710304,./bbc/images/0142/376.jpg,arts_culture,train,bbc,无明显语义冲突/泛化配图,,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_image\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
311746,batch1,8,真实OOC,1,OOC,0.9,train,usa_today,Browns running back Terrance West rushes against the Jaguars in the first quarter at EverBank Field,Tampa Bay Buccaneers running back Bobby Rainey runs with the ball during the second quarter against the Miami Dolphins at Raymond James Stadium,布朗队跑卫特伦斯·韦斯特在埃弗班克球场第一节对阵美洲虎队时带球冲跑。,坦帕湾海盗队跑卫鲍比·雷尼在雷蒙德·詹姆斯体育场第二节对阵迈阿密海豚队时带球推进。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time""]",done,已完成,朱俊好,,,missing_rationale,429063,311746,./usa_today/images/0717/603.jpg,arts_culture,train,usa_today,时间错配,时间,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_image\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
751170,batch1,9,真实OOC,1,OOC,0.9,train,guardian,Ian Carmichael in the 1957 film of the Kingsley Amis classic Lucky Jim,Duke Ellington playing piano in Coventry Cathedral 1968,伊恩·卡迈克尔出演1957年改编自金斯利·艾米斯经典作品《幸运儿吉姆》的电影。,杜克·艾灵顿1968年在考文垂大教堂弹钢琴。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time"", ""event_type"", ""relation""]",done,已完成,朱俊好,,,missing_rationale,1092214,751170,./guardian/images/0719/820.jpg,artanddesign,train,guardian,时间错配,主体/人物，时间,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\semantics_clip_text_text\train.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
386958,batch1,10,真实OOC,1,OOC,0.9,test,usa_today,Israeli Prime Minister Benjamin Netanyahu criticized a pending nuclear deal with Iran in a speech in Jerusalem on Friday April 3 2015,Secretary of State John Kerry speaks to the media during a press conference in Australia,以色列总理本雅明·内塔尼亚胡于2015年4月3日星期五在耶路撒冷发表演讲，批评一项尚待达成的伊朗核协议。,美国国务卿约翰·克里在澳大利亚的一场新闻发布会上对媒体讲话。,different-event mismatch,完全不同事件,"[""entity"", ""location"", ""time""]",done,已完成,朱俊好,,,missing_rationale,218071,386958,./usa_today/images/0031/960.jpg,international_relations,test,usa_today,地点错配,主体/人物，地点,D:\MY_PROJECT\OOC\datasets\NewsCLIPpings_repo\news_clippings\data\merged_balanced\test.json,outputs\ooc50_annotation_20260626\真实OOC人工标注50条_中文.xlsx,batch1,
